"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error","target_date","target_pub_date","surprise_raw","surprise","year_month"
"factor_midas","France","Revenues",2015-02-15,4989.11908283811,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,941.054807988734,941.054807988734,"2015-02"
"factor_midas","France","Revenues",2015-02-26,4348.37360780981,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-640.745475028302,-640.745475028302,"2015-02"
"factor_midas","France","Revenues",2015-02-27,1807.41375966187,2,NA,NA,NA,NA,NA,NA,2015-02-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-2540.95984814793,-2540.95984814793,"2015-02"
"factor_midas","France","Revenues",2015-03-01,2128.25688978181,2,NA,NA,NA,NA,NA,NA,2015-03-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,320.84313011994,320.84313011994,"2015-03"
"factor_midas","France","Revenues",2015-03-05,1887.02676913197,2,NA,NA,NA,NA,NA,NA,2015-03-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-241.230120649842,-241.230120649842,"2015-03"
"factor_midas","France","Revenues",2015-03-07,1845.65250383709,2,NA,NA,NA,NA,NA,NA,2015-03-01,-482.399999999965,"Total revenues accrual",NA,"OK",NA,2015-01-01,2015-03-15,-41.3742652948833,-41.3742652948833,"2015-03"
"factor_midas","France","Revenues",2015-03-15,2214.47707440357,2,NA,NA,NA,NA,NA,NA,2015-03-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,NA,0,"2015-03"
"factor_midas","France","Revenues",2015-03-26,2237.05921642465,2,NA,NA,NA,NA,NA,NA,2015-03-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,22.5821420210814,22.5821420210814,"2015-03"
"factor_midas","France","Revenues",2015-03-27,1876.22435072009,2,NA,NA,NA,NA,NA,NA,2015-03-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,-360.834865704564,-360.834865704564,"2015-03"
"factor_midas","France","Revenues",2015-04-01,1821.04021536327,2,NA,NA,NA,NA,NA,NA,2015-04-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,-55.1841353568177,-55.1841353568177,"2015-04"
"factor_midas","France","Revenues",2015-04-03,1829.1602628685,2,NA,NA,NA,NA,NA,NA,2015-04-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,8.12004750522829,8.12004750522829,"2015-04"
"factor_midas","France","Revenues",2015-04-05,2134.93668334361,2,NA,NA,NA,NA,NA,NA,2015-04-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,305.776420475107,305.776420475107,"2015-04"
"factor_midas","France","Revenues",2015-04-15,2022.84908824901,2,NA,NA,NA,NA,NA,NA,2015-04-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,-112.087595094594,-112.087595094594,"2015-04"
"factor_midas","France","Revenues",2015-04-27,1850.69306818366,2,NA,NA,NA,NA,NA,NA,2015-04-01,3563.79999999999,"Total revenues accrual",NA,"OK",NA,2015-04-01,2015-06-15,-172.156020065355,-172.156020065355,"2015-04"
