"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"Direct euro area EA-MD factors",18,"Average fragmentation",-0.317513786961862,0.469802953527998,-1.23832757587674,0.603300001953014,-0.78731674048986,0.152289166566136
"Direct euro area EA-MD factors",19,"Average fragmentation",-0.0646800783349824,0.65804504144326,-1.35444835956377,1.22508820289381,-0.722725119778243,0.593364963108278
"Direct euro area EA-MD factors",20,"Average fragmentation",-1.8354331266852,0.786426073751564,-3.37682823123826,-0.294038022132132,-2.62185920043676,-1.04900705293363
"Direct euro area EA-MD factors",21,"Average fragmentation",-0.453796222740285,0.523469920184534,-1.47979726630197,0.572204820821402,-0.97726614292482,0.0696736974442491
"Direct euro area EA-MD factors",22,"Average fragmentation",-0.983581029552951,0.411113890644177,-1.78936425521554,-0.177797803890365,-1.39469492019713,-0.572467138908774
"Direct euro area EA-MD factors",23,"Average fragmentation",-0.0680558503783143,0.424621755958552,-0.900314492057075,0.764202791300447,-0.492677606336866,0.356565905580237
"Direct euro area EA-MD factors",24,"Average fragmentation",-0.297823554909574,0.562093848487526,-1.39952749794513,0.803880388125976,-0.8599174033971,0.264270293577952
"Direct euro area EA-MD factors",0,"High fragmentation (+1 sd)",-1.8418195932897,0.631383653743351,-3.07933155462666,-0.604307631952728,-2.47320324703305,-1.21043593954635
"Direct euro area EA-MD factors",1,"High fragmentation (+1 sd)",-6.22103618230484,1.34717817186404,-8.86150539915835,-3.58056696545132,-7.56821435416888,-4.8738580104408
"Direct euro area EA-MD factors",2,"High fragmentation (+1 sd)",-2.16202250928812,0.939791591730101,-4.00401402907911,-0.32003098949712,-3.10181410101822,-1.22223091755802
"Direct euro area EA-MD factors",3,"High fragmentation (+1 sd)",-1.59223444841052,1.40469738714417,-4.3454413272131,1.16097243039206,-2.99693183555469,-0.187537061266342
"Direct euro area EA-MD factors",4,"High fragmentation (+1 sd)",-2.18939975220576,0.77227281611494,-3.70305447179104,-0.675745032620475,-2.9616725683207,-1.41712693609082
